SNR,window,p,MD,FAR
0,10,0.5,0.00142,0.98468
5,10,0.5,0.00104,0.8754
10,10,0.5,0.0007,0.73266
0,20,0.5,0.00112,0.94908
5,20,0.5,0.0011,0.18548
10,20,0.5,0.00136,0.01208
0,30,0.5,0.00134,0.88614
5,30,0.5,0.00144,0.01078
10,30,0.5,0.00096,0.0001
0,40,0.5,0.00118,0.8522
5,40,0.5,0.00124,0.00104
10,40,0.5,0.00148,0.0
0,50,0.5,0.00104,0.79936
5,50,0.5,0.00168,6e-05
10,50,0.5,0.00044,0.0
0,60,0.5,0.00078,0.76898
5,60,0.5,0.00112,2e-05
10,60,0.5,0.00154,0.0
0,70,0.5,0.00106,0.7282
5,70,0.5,0.00104,0.0
10,70,0.5,0.00044,0.0
0,80,0.5,0.00136,0.62194
5,80,0.5,0.00068,0.0
10,80,0.5,0.0011,0.0
0,90,0.5,0.00126,0.58748
5,90,0.5,0.00168,0.0
10,90,0.5,0.00154,0.0
0,100,0.5,0.00174,0.49806
5,100,0.5,0.0008,0.0
10,100,0.5,0.00088,0.0
