SNR,Prob,Iy1,Iy1y2
0,0.1,0.3764184200197962,0.4490857866364115
0,0.2,0.44768676413792097,0.616141248434273
0,0.3,0.4749812346895461,0.6792392406992616
0,0.4,0.48618228658834806,0.7116492225267579
0,0.5,0.4863172714713313,0.7222764069686631
5.0,0.1,0.4693787026409389,0.4680652831485149
5.0,0.2,0.6789661186475222,0.7173516756611185
5.0,0.3,0.7867214765409314,0.8687831714214234
5.0,0.4,0.8437912375868043,0.9513314237959325
5.0,0.5,0.8605529592103051,0.9765458395832064
10.0,0.1,0.4714141355445266,0.47278360438040334
10.0,0.2,0.7223859795487122,0.7210163808543246
10.0,0.3,0.8797951542742929,0.881081979188631
10.0,0.4,0.9681796781188707,0.9703652274048207
10.0,0.5,0.9967039363550513,0.9999699576561647
15.0,0.1,0.46769444338226496,0.4653876289833767
15.0,0.2,0.7212908562519408,0.7234619088211875
15.0,0.3,0.8813756946030311,0.8822395064218439
15.0,0.4,0.96870941501997,0.9721236558984087
15.0,0.5,0.9999999807720705,0.9999870158806006
