SNR,window,p,MD_x,FAR_x
0.0,50,0.5,0.0014,0.341
0.0,50,0.5,0.0012,0.3061
0.0,50,0.5,0.001,0.3731
0.0,50,0.5,0.0018,0.408
0.0,50,0.5,0.0016,0.3441
0.0,50,0.5,0.0009,0.3247
0.0,50,0.5,0.0014,0.3331
0.0,50,0.5,0.0011,0.375
0.0,50,0.5,0.0012,0.303
0.0,50,0.5,0.0012,0.3388
0.0,50,0.5,0.0006,0.3846
0.0,50,0.5,0.0008,0.3703
0.0,50,0.5,0.0008,0.3544
0.0,50,0.5,0.0014,0.3272
0.0,50,0.5,0.001,0.4161
0.0,50,0.5,0.0005,0.3634
0.0,50,0.5,0.0013,0.3523
0.0,50,0.5,0.0013,0.388
0.0,50,0.5,0.0007,0.3461
0.0,50,0.5,0.0018,0.2906
0.0,50,0.5,0.0007,0.3592
0.0,50,0.5,0.0011,0.3319
0.0,50,0.5,0.0008,0.3396
0.0,50,0.5,0.0008,0.4485
0.0,50,0.5,0.0007,0.345
0.0,50,0.5,0.0008,0.3136
0.0,50,0.5,0.001,0.4209
0.0,50,0.5,0.0009,0.3115
0.0,50,0.5,0.0006,0.3408
0.0,50,0.5,0.0006,0.3912
0.0,50,0.5,0.0007,0.26
0.0,50,0.5,0.0008,0.3413
0.0,50,0.5,0.0009,0.3451
0.0,50,0.5,0.0008,0.3455
0.0,50,0.5,0.0008,0.3578
0.0,50,0.5,0.0011,0.2747
0.0,50,0.5,0.0005,0.3111
0.0,50,0.5,0.0011,0.3175
0.0,50,0.5,0.0014,0.3748
0.0,50,0.5,0.0008,0.3833
0.0,50,0.5,0.001,0.3161
0.0,50,0.5,0.0004,0.406
0.0,50,0.5,0.0009,0.2634
0.0,50,0.5,0.0015,0.3123
0.0,50,0.5,0.001,0.2896
0.0,50,0.5,0.0012,0.2842
0.0,50,0.5,0.001,0.2484
0.0,50,0.5,0.0015,0.3375
0.0,50,0.5,0.0007,0.2898
0.0,50,0.5,0.0004,0.3542
0.0,50,0.5,0.0009,0.3755
0.0,50,0.5,0.0011,0.2519
0.0,50,0.5,0.0014,0.3356
0.0,50,0.5,0.0016,0.3333
0.0,50,0.5,0.0008,0.3765
0.0,50,0.5,0.0014,0.376
0.0,50,0.5,0.0007,0.3595
0.0,50,0.5,0.0009,0.3872
0.0,50,0.5,0.0012,0.3293
0.0,50,0.5,0.0012,0.3287
0.0,50,0.5,0.001,0.3482
0.0,50,0.5,0.0008,0.3105
0.0,50,0.5,0.0005,0.3425
0.0,50,0.5,0.0011,0.2665
0.0,50,0.5,0.0015,0.3082
0.0,50,0.5,0.0006,0.3199
0.0,50,0.5,0.0003,0.3109
0.0,50,0.5,0.0012,0.2658
0.0,50,0.5,0.0019,0.2472
0.0,50,0.5,0.001,0.3644
0.0,50,0.5,0.0005,0.3915
0.0,50,0.5,0.0012,0.3191
0.0,50,0.5,0.0011,0.3035
0.0,50,0.5,0.0019,0.456
0.0,50,0.5,0.0011,0.3561
0.0,50,0.5,0.0007,0.3524
0.0,50,0.5,0.0008,0.3044
0.0,50,0.5,0.0006,0.3474
0.0,50,0.5,0.0015,0.3199
0.0,50,0.5,0.0003,0.3425
0.0,50,0.5,0.0008,0.2677
0.0,50,0.5,0.0011,0.3118
0.0,50,0.5,0.0005,0.3224
0.0,50,0.5,0.0004,0.323
0.0,50,0.5,0.0014,0.3207
0.0,50,0.5,0.0008,0.3742
0.0,50,0.5,0.0008,0.3526
0.0,50,0.5,0.0018,0.3531
0.0,50,0.5,0.0022,0.304
0.0,50,0.5,0.001,0.3948
0.0,50,0.5,0.0016,0.3675
0.0,50,0.5,0.0004,0.3607
0.0,50,0.5,0.0011,0.3947
0.0,50,0.5,0.0006,0.2506
0.0,50,0.5,0.0007,0.2667
0.0,50,0.5,0.0015,0.3599
0.0,50,0.5,0.0006,0.2934
0.0,50,0.5,0.0012,0.3136
0.0,50,0.5,0.001,0.3097
0.0,50,0.5,0.001,0.3705
0.0,50,0.5,0.0015,0.3535
0.0,50,0.5,0.0011,0.277
0.0,50,0.5,0.0011,0.3014
0.0,50,0.5,0.0016,0.2989
0.0,50,0.5,0.0012,0.2777
0.0,50,0.5,0.0004,0.3049
0.0,50,0.5,0.0011,0.3327
0.0,50,0.5,0.0005,0.3224
0.0,50,0.5,0.0009,0.3242
0.0,50,0.5,0.0014,0.2372
0.0,50,0.5,0.0017,0.2615
0.0,50,0.5,0.0013,0.3566
0.0,50,0.5,0.001,0.3375
0.0,50,0.5,0.0019,0.3668
0.0,50,0.5,0.0009,0.4461
0.0,50,0.5,0.0008,0.367
0.0,50,0.5,0.0012,0.3227
0.0,50,0.5,0.0004,0.36
0.0,50,0.5,0.0011,0.2081
0.0,50,0.5,0.002,0.292
0.0,50,0.5,0.0013,0.3601
0.0,50,0.5,0.0008,0.359
0.0,50,0.5,0.0012,0.352
0.0,50,0.5,0.0008,0.2806
0.0,50,0.5,0.0018,0.3833
0.0,50,0.5,0.0009,0.3496
0.0,50,0.5,0.0008,0.2997
0.0,50,0.5,0.0013,0.3239
0.0,50,0.5,0.0011,0.3085
0.0,50,0.5,0.0013,0.3524
0.0,50,0.5,0.0018,0.2964
0.0,50,0.5,0.0007,0.3296
0.0,50,0.5,0.0006,0.321
0.0,50,0.5,0.0011,0.3017
0.0,50,0.5,0.0009,0.2994
0.0,50,0.5,0.0009,0.3189
0.0,50,0.5,0.0014,0.3535
0.0,50,0.5,0.0009,0.3094
0.0,50,0.5,0.0006,0.3632
0.0,50,0.5,0.0013,0.385
0.0,50,0.5,0.0011,0.4181
0.0,50,0.5,0.0017,0.377
0.0,50,0.5,0.0014,0.3354
0.0,50,0.5,0.0013,0.3306
0.0,50,0.5,0.0007,0.3295
0.0,50,0.5,0.0008,0.3567
0.0,50,0.5,0.0015,0.3231
0.0,50,0.5,0.0009,0.2787
0.0,50,0.5,0.0008,0.3216
0.0,50,0.5,0.0011,0.3012
0.0,50,0.5,0.001,0.3211
0.0,50,0.5,0.001,0.3134
0.0,50,0.5,0.0008,0.2949
0.0,50,0.5,0.0006,0.2988
0.0,50,0.5,0.0012,0.326
0.0,50,0.5,0.0009,0.2829
0.0,50,0.5,0.0015,0.3614
0.0,50,0.5,0.0007,0.3305
0.0,50,0.5,0.0006,0.3077
0.0,50,0.5,0.0009,0.3534
0.0,50,0.5,0.0005,0.2946
0.0,50,0.5,0.0013,0.3206
0.0,50,0.5,0.001,0.2689
0.0,50,0.5,0.0011,0.3796
0.0,50,0.5,0.0014,0.3289
0.0,50,0.5,0.0015,0.2651
0.0,50,0.5,0.0015,0.3255
0.0,50,0.5,0.0017,0.2902
0.0,50,0.5,0.0015,0.3952
0.0,50,0.5,0.0015,0.3002
0.0,50,0.5,0.001,0.326
0.0,50,0.5,0.0005,0.3261
0.0,50,0.5,0.0011,0.3098
0.0,50,0.5,0.0009,0.4153
0.0,50,0.5,0.0009,0.2977
0.0,50,0.5,0.0008,0.2797
0.0,50,0.5,0.0017,0.2616
0.0,50,0.5,0.0007,0.4036
0.0,50,0.5,0.0012,0.2594
0.0,50,0.5,0.0018,0.3501
0.0,50,0.5,0.0007,0.324
0.0,50,0.5,0.0017,0.3639
0.0,50,0.5,0.0017,0.3235
0.0,50,0.5,0.0013,0.3664
0.0,50,0.5,0.0007,0.3717
0.0,50,0.5,0.0017,0.3131
0.0,50,0.5,0.0012,0.3791
0.0,50,0.5,0.002,0.322
0.0,50,0.5,0.0012,0.3206
0.0,50,0.5,0.0014,0.3568
0.0,50,0.5,0.0011,0.3641
0.0,50,0.5,0.0004,0.3525
0.0,50,0.5,0.0011,0.3675
0.0,50,0.5,0.0017,0.2961
0.0,50,0.5,0.0016,0.3452
0.0,50,0.5,0.0016,0.3622
0.0,50,0.5,0.0005,0.3132
0.0,50,0.5,0.0007,0.3492
0.0,50,0.5,0.0011,0.3831
0.0,50,0.5,0.0007,0.3868
0.0,50,0.5,0.0012,0.2963
0.0,50,0.5,0.0012,0.2977
0.0,50,0.5,0.0008,0.3125
0.0,50,0.5,0.0012,0.3668
0.0,50,0.5,0.0008,0.3757
0.0,50,0.5,0.0012,0.3984
0.0,50,0.5,0.0007,0.3187
0.0,50,0.5,0.0002,0.2925
0.0,50,0.5,0.0009,0.3713
0.0,50,0.5,0.0006,0.3531
0.0,50,0.5,0.0009,0.407
0.0,50,0.5,0.0009,0.4067
0.0,50,0.5,0.0013,0.3449
0.0,50,0.5,0.0012,0.3156
0.0,50,0.5,0.0005,0.3786
0.0,50,0.5,0.0013,0.3304
0.0,50,0.5,0.0012,0.2872
0.0,50,0.5,0.0008,0.3189
0.0,50,0.5,0.0015,0.3656
0.0,50,0.5,0.0009,0.2867
0.0,50,0.5,0.0006,0.3265
0.0,50,0.5,0.0008,0.3763
0.0,50,0.5,0.0007,0.3324
0.0,50,0.5,0.0008,0.3168
0.0,50,0.5,0.002,0.3127
0.0,50,0.5,0.0005,0.2715
0.0,50,0.5,0.001,0.2981
0.0,50,0.5,0.0014,0.3438
0.0,50,0.5,0.0006,0.2775
0.0,50,0.5,0.0008,0.4229
0.0,50,0.5,0.0023,0.292
0.0,50,0.5,0.0009,0.3029
0.0,50,0.5,0.0007,0.4009
0.0,50,0.5,0.0014,0.3752
0.0,50,0.5,0.0012,0.4056
0.0,50,0.5,0.0002,0.3733
0.0,50,0.5,0.0007,0.4262
0.0,50,0.5,0.0013,0.3356
0.0,50,0.5,0.0008,0.3326
0.0,50,0.5,0.0015,0.3638
0.0,50,0.5,0.0009,0.2958
0.0,50,0.5,0.001,0.3439
0.0,50,0.5,0.0011,0.2487
0.0,50,0.5,0.0008,0.3134
0.0,50,0.5,0.0011,0.3239
0.0,50,0.5,0.0017,0.3591
0.0,50,0.5,0.0008,0.3453
0.0,50,0.5,0.0008,0.3024
0.0,50,0.5,0.0007,0.3271
0.0,50,0.5,0.0004,0.2602
0.0,50,0.5,0.0007,0.2945
0.0,50,0.5,0.0008,0.3277
0.0,50,0.5,0.0012,0.2981
0.0,50,0.5,0.0007,0.3603
0.0,50,0.5,0.001,0.3518
0.0,50,0.5,0.0015,0.3836
0.0,50,0.5,0.0007,0.2924
