SNR,window,p,emd,MD,FAR
5.0,50,0.5,0.01,0.04942166140904311,0.0
5.0,50,0.5,0.001,0.01396844538237363,0.0036177268616219473
5.0,50,0.5,0.0001,0.0003601764864783744,0.062440595891987076
5.0,50,0.5,1e-05,2.4001200060003e-05,0.2549757487874394
5.0,50,0.5,1e-06,1.6000078400384161e-06,0.599956039784595
