SNR,window,p,emd,MD,FAR
5.0,40,0.5,0.01,0.002081165452653486,0.0
5.0,40,0.5,0.001,0.0019074390121473748,0.0014054813773717498
5.0,40,0.5,0.0001,8.003121217274737e-05,0.004141615229939676
5.0,40,0.5,1e-05,2.000080003200128e-06,0.10036001440057603
5.0,40,0.5,1e-06,1.400005460021294e-06,0.22071406078483707
