SNR,window,p,emd,MD,FAR
0.0,50,0.5,0.01,0.06203995793901157,0.1882229232386961
0.0,50,0.5,0.001,0.006833484071952568,0.6079790975781328
0.0,50,0.5,0.0001,0.00022010785284789548,0.8869746175626056
0.0,50,0.5,1e-05,7.000350017500875e-06,0.9738486924346217
0.0,50,0.5,1e-06,1.5000073500360152e-06,0.9938023696316112
