SNR,window,p,MD,FAR
0.0,10,0.3,0.0012602268408313496,0.936388549938989
0.0,20,0.3,0.0008003041155639143,0.8100278105680159
0.0,30,0.3,0.001941125852994737,0.5759140301374798
0.0,40,0.3,0.0019415143812173494,0.25333760333059785
0.0,50,0.3,0.0004404316229905307,0.2570919501111089
0.0,60,0.3,0.0013816303237820628,0.12124306681884624
0.0,70,0.3,0.0005207185916564859,0.0855780977749294
0.0,80,0.3,0.0007411710502594099,0.08467378457963583
0.0,90,0.3,0.001041854501011801,0.05207268938710905
0.0,100,0.3,0.0002805554998897818,0.03705336566401475
